#1				
double CoolDown(15,5)				
0	80	1	-981.29721	178.946
0.96	80	1	-962.13162	194.69938
3	80	1	-964.10306	192.24249
3.96	80	1	-962.96194	360.8884
4.98	80	1	-98.80235	-28.62054
24	80	1	-98.67458	-28.7074
24.96	80	1	-94.59145	-28.75394
37.98	80	1	-94.54675	-29.15702
42	79.86614	1.000000	-94.08923	-28.81031
42.96	79.87445	0.775831111	-94.20859	-29.07631
43.98	79.84186	0.594720	-94.43624	-28.90516
45	79.77475	0.506111111	-94.47831	-28.995
48.96	79.69710	0.428426667	-94.42606	-29.00438
75.96	79.16855	0.427964444	-93.24935	-29.25699
84	79.11327	0.071666667	-92.97189	-28.92794
